kx,ky,kz,g0,g1,p0,p1,Real,Imaginary
0,2,2,2500000.0,2500000.0,0.1,0,0.3960929,0.0005184
0,2,2,2500000.0,2500000.0,0.1,0,0.4505407,0.0002694
0,2,2,2500000.0,2500000.0,0.1,0.1,0.4073028,0.0004991
0,2,2,2500000.0,2500000.0,0.1,0.1,0.4070943,0.0002335
0,2,3,0,0,0,0,0.5918979,0.0004561
0,2,3,0,0,0,0,0.5909707,0.0001292
0,2,3,0,0,0,0.1,0.6052488,0.0004078
0,2,3,0,0,0,0.1,0.5329671,0.000106
0,2,3,0,0,0.1,0,0.533785,0.0004024
0,2,3,0,0,0.1,0,0.604403,0.000103
0,2,3,0,0,0.1,0.1,0.5456843,0.0003602
0,2,3,0,0,0.1,0.1,0.5449363,8.38e-05
0,2,3,0,2500000.0,0,0,0.6039459,0.0008102
0,2,3,0,2500000.0,0,0,0.5189081,0.0001105
0,2,3,0,2500000.0,0,0.1,0.6165297,0.0007665
0,2,3,0,2500000.0,0,0.1,0.46802,9.07e-05
0,2,3,0,2500000.0,0.1,0,0.5444812,0.0007233
0,2,3,0,2500000.0,0.1,0,0.530696,8.58e-05
